,CLASS_LABEL
HMF003701A,0
HMF003703A,0
HMF003712A,0
HMF003720A,0
HMF003720B,0
HMF003726A,0
HMF003730A,0
HMF003738A,0
HMF003745A,0
HMF003753A,0
HMF003754A,0
HMF003771A,0
HMF003780A,0
HMF003783A,0
HMF003796A,1
HMF003802A,0
HMF003804A,0
HMF003808A,0
HMF003810A,0
HMF003849A,0
HMF003851A,0
HMF003861A,0
HMF003871A,0
HMF003882A,0
HMF003921A,0
HMF003928A,0
HMF003935A,0
HMF003938A,0
HMF003951A,0
HMF003956A,0
HMF003968A,0
HMF003975A,0
HMF003981A,0
HMF003988A,0
HMF003997A,0
HMF004010A,0
HMF004012A,0
HMF004023A,0
HMF004035A,0
HMF004037A,0
HMF004039A,0
HMF004071A,0
HMF004072A,0
HMF004075A,0
HMF004078A,0
HMF004081A,0
HMF004094A,0
HMF004101A,0
HMF004104A,0
HMF004116A,0
HMF004121A,0
HMF004127A,0
HMF004129A,0
HMF004131A,0
HMF004135A,0
HMF004136A,0
HMF004163A,0
HMF004170A,0
HMF004172A,0
HMF004244A,0
HMF004244B,0
HMF004268A,0
HMF004276A,0
HMF004277A,0
HMF004280A,0
HMF004286A,0
HMF004287A,0
HMF004338A,0
HMF004341A,0
HMF004364A,0
HMF004381A,0
HMF004386A,0
HMF004416A,0
HMF004453A,0
HMF004462A,0
HMF004471A,0
HMF004516A,0
HMF004517A,0
HMF004530A,0
HMF004547A,0
HMF004550A,0
HMF004586A,0
HMF004600A,0
HMF004644A,0
HMF004645A,0
HMF004657A,0
HMF004670A,0
HMF004683A,0
HMF004685A,0
HMF004695A,1
HMF004700A,0
HMF004714A,0
HMF004716A,0
HMF004764A,0
HMF004787A,0
HMF004791A,0
HMF004804A,0
HMF004821A,0
HMF004848A,0
HMF004878A,0
HMF004880A,0
HMF004884A,0
HMF004906A,0
HMF004936A,0
HMF004941A,0
HMF004965A,0
HMF005006A,0
HMF005022A,0
HMF005030A,0
HMF_X_1,0
HMF_X_3,0
HMF_X_4,0
HMF_X_5,0
HMF_X_6,0
PD3851a,0
PD3904a,0
PD3905a,1
PD3945a,0
PD3989a,0
PD4069a,0
PD4080a,0
PD4086a,0
PD4088a,0
PD4103a,0
PD4115a,0
PD4116a,0
PD4192a,0
PD4194a,0
PD4198a,0
PD4199a,0
PD4224a,0
PD4225a,0
PD4266a,0
PD4267a,0
PD4315a,0
PD4604a,0
PD4605a,0
PD4606a,0
PD4607a,0
PD4613a,0
PD4953a,0
PD4954a,0
PD4959a,0
PD4962a,0
PD4963a,0
PD4967a,0
PD4968a,0
PD4970a,0
PD4971a,0
PD4976a,0
PD4980a,1
PD4981a,0
PD4985a,0
PD4986a,0
PD5928a,0
PD5936a,0
PD5947a,0
PD5950a,0
PD5956a,0
PD5961a,0
PD6041a,0
PD6042a,0
PD6043a,0
PD6044a,0
PD6049a,0
PD6415a,1
PD6417a,0
PD6418a,0
PD6422a,0
PD6719a,0
PD6721a,0
PD7199a,0
PD7206a,0
PD7207a,0
PD7208a,0
PD7209a,0
PD7210a,0
PD7212a,0
PD7214a,0
PD7215a,0
PD7218a,0
PD7219a,0
PD7221a,0
PD7321a,1
PD7433a,0
PD8618a,0
PD8622a,0
PD8623a,0
PD8964a,1
PD8965a,1
PD9000a,0
PD9001a,0
PD9002a,0
PD9567a,0
PD9569a,0
PD9570a,0
PD9572a,0
PD9573a,0
PD9574a,0
PD9577a,0
PD9589a,0
PD9599a,0
TCGA-A1-A0SM,0
TCGA-A2-A04P,1
TCGA-A2-A04X,0
TCGA-A2-A0D1,0
TCGA-A2-A0D4,0
TCGA-A2-A0EY,0
TCGA-A2-A0YG,0
TCGA-A2-A259,0
TCGA-A2-A25B,0
TCGA-A2-A3Y0,0
TCGA-A7-A13D,0
TCGA-A7-A26G,1
TCGA-A8-A075,0
TCGA-A8-A07I,0
TCGA-A8-A08B,0
TCGA-A8-A08L,0
TCGA-A8-A08S,0
TCGA-A8-A092,0
TCGA-A8-A094,0
TCGA-A8-A09I,0
TCGA-AO-A03L,0
TCGA-AO-A03N,0
TCGA-AO-A0J4,1
TCGA-AO-A0J6,1
TCGA-AO-A12H,0
TCGA-AR-A0TX,0
TCGA-AR-A1AY,1
TCGA-AR-A24Z,0
TCGA-AR-A256,1
TCGA-AR-A2LK,0
TCGA-B6-A0I1,0
TCGA-B6-A0X5,0
TCGA-BH-A0B3,1
TCGA-BH-A0DG,0
TCGA-BH-A0DT,0
TCGA-BH-A0EA,0
TCGA-BH-A0H0,0
TCGA-BH-A0H6,0
TCGA-BH-A18R,0
TCGA-BH-A18U,0
TCGA-C8-A12Q,0
TCGA-C8-A130,0
TCGA-E2-A109,0
TCGA-E2-A14P,0
TCGA-E2-A152,0
TCGA-E2-A156,0
TCGA-E2-A15E,0
TCGA-E2-A15H,0
TCGA-E2-A15K,0
TCGA-E9-A1NH,0
TCGA-EW-A1J5,0
TCGA-EW-A1PC,0
